,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,4,Hospital beds,per 10k pop,All,All,HBP10KP1,0,130,4,No
1,Afghanistan,2009,4,Hospital beds,per 10k pop,All,All,HBP10KP2,0,130,4,No
2,Albania,2009,28,Hospital beds,per 10k pop,All,All,HBP10KP3,0,130,8,No
3,Albania,2007,29,Hospital beds,per 10k pop,All,All,HBP10KP4,0,130,8,No
4,Algeria,2004,17,Hospital beds,per 10k pop,All,All,HBP10KP5,0,130,12,No
5,Andorra,2009,25,Hospital beds,per 10k pop,All,All,HBP10KP6,0,130,20,No
6,Andorra,2007,26,Hospital beds,per 10k pop,All,All,HBP10KP7,0,130,20,No
7,Angola,2005,8,Hospital beds,per 10k pop,All,All,HBP10KP8,0,130,24,No
8,Antigua and Barbuda,2010,22,Hospital beds,per 10k pop,All,All,HBP10KP9,0,130,28,No
9,Antigua and Barbuda,2009,22,Hospital beds,per 10k pop,All,All,HBP10KP10,0,130,28,No
10,Argentina,2010,45,Hospital beds,per 10k pop,All,All,HBP10KP11,0,130,32,No
11,Argentina,2000,41,Hospital beds,per 10k pop,All,All,HBP10KP12,0,130,32,No
12,Armenia,2009,37,Hospital beds,per 10k pop,All,All,HBP10KP13,0,130,51,No
13,Armenia,2007,41,Hospital beds,per 10k pop,All,All,HBP10KP14,0,130,51,No
14,Australia,2009,38,Hospital beds,per 10k pop,All,All,HBP10KP15,0,130,36,No
15,Austria,2009,77,Hospital beds,per 10k pop,All,All,HBP10KP16,0,130,40,No
16,Austria,2008,77,Hospital beds,per 10k pop,All,All,HBP10KP17,0,130,40,No
17,Azerbaijan,2009,75,Hospital beds,per 10k pop,All,All,HBP10KP18,0,130,31,No
18,Azerbaijan,2007,79,Hospital beds,per 10k pop,All,All,HBP10KP19,0,130,31,No
19,Bahamas,2009,31,Hospital beds,per 10k pop,All,All,HBP10KP20,0,130,44,No
20,Bahamas,2008,31,Hospital beds,per 10k pop,All,All,HBP10KP21,0,130,44,No
21,Bahrain,2009,18,Hospital beds,per 10k pop,All,All,HBP10KP22,0,130,48,No
22,Bahrain,2008,19,Hospital beds,per 10k pop,All,All,HBP10KP23,0,130,48,No
23,Bangladesh,2005,3,Hospital beds,per 10k pop,All,All,HBP10KP24,0,130,50,No
24,Barbados,2009,68,Hospital beds,per 10k pop,All,All,HBP10KP25,0,130,52,No
25,Barbados,2008,76,Hospital beds,per 10k pop,All,All,HBP10KP26,0,130,52,No
26,Belarus,2009,111,Hospital beds,per 10k pop,All,All,HBP10KP27,0,130,112,No
27,Belarus,2007,112,Hospital beds,per 10k pop,All,All,HBP10KP28,0,130,112,No
28,Belgium,2010,65,Hospital beds,per 10k pop,All,All,HBP10KP29,0,130,56,No
29,Belgium,2009,66,Hospital beds,per 10k pop,All,All,HBP10KP30,0,130,56,No
30,Belize,2010,12,Hospital beds,per 10k pop,All,All,HBP10KP31,0,130,84,No
31,Belize,2009,11,Hospital beds,per 10k pop,All,All,HBP10KP32,0,130,84,No
32,Benin,2010,5,Hospital beds,per 10k pop,All,All,HBP10KP33,0,130,204,No
33,Benin,2005,5,Hospital beds,per 10k pop,All,All,HBP10KP34,0,130,204,No
34,Bhutan,2011,18,Hospital beds,per 10k pop,All,All,HBP10KP35,0,130,64,No
35,Bhutan,2006,17,Hospital beds,per 10k pop,All,All,HBP10KP36,0,130,64,No
36,Bolivia (Plurinational State of),2009,11,Hospital beds,per 10k pop,All,All,HBP10KP37,0,130,68,No
37,Bosnia and Herzegovina,2009,34,Hospital beds,per 10k pop,All,All,HBP10KP38,0,130,70,No
38,Bosnia and Herzegovina,2005,30,Hospital beds,per 10k pop,All,All,HBP10KP39,0,130,70,No
39,Botswana,2010,18,Hospital beds,per 10k pop,All,All,HBP10KP40,0,130,72,No
40,Botswana,2008,18,Hospital beds,per 10k pop,All,All,HBP10KP41,0,130,72,No
41,Brazil,2010,24,Hospital beds,per 10k pop,All,All,HBP10KP42,0,130,76,No
42,Brazil,2009,24,Hospital beds,per 10k pop,All,All,HBP10KP43,0,130,76,No
43,Brunei Darussalam,2009,26,Hospital beds,per 10k pop,All,All,HBP10KP44,0,130,96,No
44,Brunei Darussalam,2008,27,Hospital beds,per 10k pop,All,All,HBP10KP45,0,130,96,No
45,Bulgaria,2009,66,Hospital beds,per 10k pop,All,All,HBP10KP46,0,130,100,No
46,Bulgaria,2008,65,Hospital beds,per 10k pop,All,All,HBP10KP47,0,130,100,No
47,Burkina Faso,2010,4,Hospital beds,per 10k pop,All,All,HBP10KP48,0,130,854,No
48,Burkina Faso,2006,9,Hospital beds,per 10k pop,All,All,HBP10KP49,0,130,854,No
49,Burundi,2011,19,Hospital beds,per 10k pop,All,All,HBP10KP50,0,130,108,No
50,Burundi,2006,7,Hospital beds,per 10k pop,All,All,HBP10KP51,0,130,108,No
51,Cabo Verde,2010,21,Hospital beds,per 10k pop,All,All,HBP10KP52,0,130,132,No
52,Cabo Verde,2008,21,Hospital beds,per 10k pop,All,All,HBP10KP53,0,130,132,No
53,Cameroon,2010,13,Hospital beds,per 10k pop,All,All,HBP10KP54,0,130,120,No
54,Cameroon,2006,15,Hospital beds,per 10k pop,All,All,HBP10KP55,0,130,120,No
55,Canada,2009,32,Hospital beds,per 10k pop,All,All,HBP10KP56,0,130,124,No
56,Canada,2008,34,Hospital beds,per 10k pop,All,All,HBP10KP57,0,130,124,No
57,Central African Republic,2011,10,Hospital beds,per 10k pop,All,All,HBP10KP58,0,130,140,No
